Ruc|Nombre/Razon|A partir del|Resolucion|
20513462388|DP WORLD CALLAO S.R.L.|01/01/2010|RS R.S.265-2009|
20476289620|DROGUERIA FARBO S.A.|01/05/2003|RS R.S.080-2003|
20415438410|DROGUERIA LA VICTORIA S.A.C.|01/08/2006|RS R.S.091-2006|
20503569737|DROGUERIA LOS ANDES S.A.|01/01/2010|RS R.S.265-2009|
20262786511|DROKASA PERU S.A.|01/06/2002|RS R.S.037-2002|
20504299628|DSM NUTRITIONAL PRODUCTS PERU S.A|01/02/2004|RS R.S. 008-2004|
20338646802|DUKE ENERGY EGENOR S. EN C. POR A.|01/06/2002|RS R.S.037-2002|
20450733351|E & M COMPANY SOCIEDAD ANONIMA CERRADA - E & M COMPANY SAC|02/05/2011|RS R.S.082-2011|
20251357413|E & M S.R.L.|01/10/2005|RS R.S.174-2005|
20100106915|E WONG S A|01/06/2002|RS R.S.037-2002|
20452457726|E. & G. CONTRATISTAS GENERALES S.R.L.|01/09/2010|RS R.S.217-2010|
20124148970|EAFC MAQUISISTEMA S.A.|01/06/2002|RS R.S.037-2002|
20380511569|EBYSA CONTRATISTAS Y CONSULTORES S.A.|01/09/2010|RS R.S.217-2010|
20331066703|ECKERD PERU S.A.|01/06/2002|RS R.S.037-2002|
20483894814|ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA|02/05/2011|RS R.S.082-2011|
20516980452|ECOPETROL DEL PERU S.A|02/05/2011|RS R.S.082-2011|
20330791412|EDEGEL S.A.A.|01/06/2002|RS R.S.037-2002|
20275449751|EDICAS S.A.C. CONTRATISTAS GENERALES|01/09/2010|RS R.S.217-2010|
20100581397|EDITORA ARGENTINA SRL|01/06/2002|RS R.S.037-2002|
20100618908|EDITORIAL ESCUELA ACTIVA S A|01/06/2002|RS R.S.037-2002|
20101191380|EDITORIAL GRAFICA OFFSET ACACIA S.A.C.|01/06/2002|RS R.S.037-2002|
20328178070|EDPYME NUEVA VISION S.A.|02/05/2011|RS R.S.082-2011|
20131369124|EJERCITO PERUANO|01/11/2002|RS R.S.135-2002|
20523443012|EL MIRADOR DE ASIA S.A.C.|02/05/2011|RS R.S.082-2011|
20100174911|EL MODELADOR S A|01/06/2002|RS R.S.037-2002|
20332970411|EL PACIF.VIDA CIA DE SEGUROS Y REASEG.SA|01/06/2002|RS R.S.037-2002|
20100035392|EL PACIFICO PERUANO-SUIZA CIA SEG Y REA|01/06/2002|RS R.S.037-2002|
20336183791|EL PEDREGAL S.A|01/02/2004|RS R.S. 008-2004|
20204844381|EL ROCIO S.A.|01/02/2003|RS R.S.181-2002|
20100108705|EL S A|01/06/2002|RS R.S.037-2002|
20516484391|ELECTRICA YANAPAMPA S.A.C.|01/12/2010|RS R.S.295-2010|
